,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Mandalgovi,20,MN,1554422553,77,45.76,106.27,275.567,3.11
86,Palmer,0,AU,1554422444,23,-34.85,139.16,304.82,8.7
87,Dicabisagan,88,PH,1554422554,100,17.08,122.42,297.167,1.21
88,Aklavik,5,CA,1554418800,61,68.22,-135.01,262.15,2.1
89,Fortuna,75,ES,1554422414,76,38.18,-1.13,287.15,1.81
90,Tabou,56,CI,1554422555,100,4.42,-7.36,300.617,6.46
91,Wum,100,CM,1554422555,50,6.39,10.08,297.017,0.81
92,Medea,75,DZ,1554420600,93,36.27,2.77,284.15,2.1
93,Bambous Virieux,20,MU,1554422343,88,-20.34,57.76,297.59,0.5
94,New Norfolk,20,AU,1554422535,44,-42.78,147.06,292.04,5.1
95,Khatanga,64,RU,1554422556,89,71.98,102.47,264.767,7.01
96,Kapaa,75,US,1554422505,54,22.08,-159.32,301.15,5.7
97,Isla Vista,90,US,1554422542,67,34.41,-119.86,290.15,2.6
98,Miandrivazo,12,MG,1554422557,93,-19.53,45.46,293.067,1.31
99,Poum,80,MK,1554422557,70,41.28,20.71,278.817,1.11
100,Copiapo,0,CL,1554418800,68,-27.37,-70.33,291.15,5.1
101,Auki,0,NG,1554422557,42,12.18,6.51,295.217,1.61
102,Huangmei,0,CN,1554422557,97,30.1,115.95,286.567,2.21
103,Nyrob,0,RU,1554422558,70,60.74,56.73,265.517,2.26
104,Piracanjuba,92,BR,1554422558,85,-17.3,-49.02,297.467,1.56
105,Tavda,0,RU,1554422558,63,58.04,65.27,264.167,1.21
106,Saint-Augustin,0,FR,1554422243,66,44.83,-0.61,282.15,5.7
107,Kaoma,0,ZM,1554422558,67,-14.8,24.8,290.767,3.21
108,Lagoa,40,PT,1554422529,87,37.14,-8.45,286.48,6.7
109,Christchurch,92,NZ,1554422454,87,-43.53,172.64,283.15,4.6
110,Sur,48,OM,1554422355,80,22.57,59.53,299.967,1.51
111,Butaritari,88,KI,1554422560,100,3.07,172.79,298.817,2.36
112,Pokhvistnevo,36,RU,1554422560,84,53.65,52.12,270.367,2.56
113,Nanortalik,80,GL,1554422560,95,60.14,-45.24,272.667,15.11
114,Praia da Vitoria,75,PT,1554422456,66,38.73,-27.07,286.15,10.21
115,Yegorlykskaya,0,RU,1554422561,70,46.56,40.65,269.967,1.26
116,Ilhabela,0,BR,1554422429,90,-23.78,-45.36,298.967,7.26
117,Juneau,90,US,1554418560,80,58.3,-134.42,278.15,5.7
118,Puerto Narino,75,CO,1554418800,94,-3.77,-70.38,301.15,1.0
119,Mapimi,75,MX,1554422412,10,25.82,-103.85,304.15,2.1
120,Hobart,20,AU,1554422416,44,-42.88,147.33,292.04,5.1
121,Clarence Town,75,AU,1554422472,88,-32.59,151.78,295.93,5.1
122,Nargana,88,PA,1554422562,98,9.44,-78.59,300.367,5.66
123,Vuktyl,0,RU,1554422562,83,63.86,57.31,271.417,2.76
124,Ilulissat,40,GL,1554418200,45,69.22,-51.1,270.15,10.8
125,Vaini,24,IN,1554422563,84,15.34,74.49,292.417,0.81
126,Cairns,40,AU,1554422008,65,-16.92,145.77,302.04,8.2
127,Vredendal,92,ZA,1554422563,96,-31.68,18.49,288.167,1.51
128,Fereydun Kenar,12,IR,1554422563,95,36.69,52.52,281.167,1.26
129,Dunmore Town,80,BS,1554422564,100,25.5,-76.65,297.067,8.26
130,Canmore,90,CA,1554422425,56,51.09,-115.35,284.26,5.7
131,Luanda,75,AO,1554418800,83,-8.83,13.24,301.15,1.5
132,Torbay,20,CA,1554422545,90,47.66,-52.73,273.71,11.8
133,Nortelandia,36,BR,1554422564,84,-14.45,-56.8,299.317,1.86
134,Nishihara,75,JP,1554422555,47,35.74,139.53,292.04,5.1
135,Coahuayana,0,MX,1554422565,23,18.62,-100.35,303.167,1.31
136,Hofn,64,IS,1554422565,100,64.25,-15.21,275.167,4.16
137,Tiksi,0,RU,1554422564,71,71.64,128.87,269.767,2.66
138,Orlandia,0,BR,1554418800,61,-20.72,-47.89,300.15,1.5
139,Yaan,0,NG,1554422565,70,7.38,8.57,301.617,6.21
140,Skibbereen,0,IE,1554420600,74,51.55,-9.27,275.15,3.1
141,Kulhudhuffushi,0,MV,1554422566,100,6.62,73.07,301.917,2.41
142,Lavrentiya,0,RU,1554422566,95,65.58,-170.99,267.767,9.31
143,Isangel,90,VU,1554418800,79,-19.55,169.27,302.15,4.1
144,Fairbanks,20,US,1554422462,36,64.84,-147.72,274.26,7.2
145,Cacequi,92,BR,1554422567,99,-29.88,-54.83,294.017,3.31
146,Lerwick,56,GB,1554420000,93,60.15,-1.15,281.15,3.6
147,Burgersdorp,80,ZA,1554422567,90,-30.99,26.32,283.717,2.21
148,Atuona,76,PF,1554422568,99,-9.8,-139.03,301.217,7.06
149,Katsuura,75,JP,1554420848,62,33.93,134.5,286.48,5.1
150,Meadow Lake,75,CA,1554419340,63,54.13,-108.44,272.15,5.7
151,Mezen,88,RU,1554422568,98,65.85,44.24,273.517,1.96
152,The Valley,40,AI,1554422501,69,18.22,-63.06,299.15,5.1
153,Kamenka,88,RU,1554422569,98,53.19,44.05,272.917,3.06
154,Avarua,24,CK,1554420600,88,-21.21,-159.78,297.15,2.1
155,Port Alfred,92,ZA,1554422513,94,-33.59,26.89,290.37,4.02
156,Arraial do Cabo,40,BR,1554418800,88,-22.97,-42.02,299.15,5.1
157,Hami,44,CN,1554422570,49,42.84,93.51,280.967,1.31
158,Ostrovnoy,8,RU,1554422570,82,68.05,39.51,266.417,3.51
159,Tuchlovice,0,CZ,1554422537,70,50.14,13.99,285.37,4.1
160,Marrakesh,40,MA,1554420600,93,31.63,-7.99,284.15,2.1
161,Biltine,0,TD,1554422571,18,14.53,20.93,296.567,5.26
162,Najran,0,SA,1554418800,38,17.54,44.22,297.15,5.1
163,Marsa Matruh,20,EG,1554418800,93,31.35,27.25,285.15,1.0
164,Port Hedland,0,AU,1554420600,78,-20.31,118.58,297.15,3.1
165,Port Hardy,90,CA,1554418800,71,50.7,-127.42,285.15,7.2
166,Sao Filipe,36,CV,1554422572,96,14.9,-24.5,294.517,8.51
167,Beitbridge,0,ZA,1554422572,88,-22.21,29.99,290.617,1.91
168,Lorengau,0,PG,1554422573,93,-2.02,147.27,302.417,2.06
169,Lahat,76,ID,1554422573,97,-3.78,103.55,295.967,1.51
170,Antofagasta,0,CL,1554418800,72,-23.65,-70.4,292.15,6.2
171,Kushiro,0,JP,1554418800,38,43.11,144.15,277.15,1.5
172,Marsh Harbour,64,BS,1554422346,100,26.54,-77.06,296.917,7.56
173,Barabinsk,88,RU,1554422574,87,55.35,78.35,272.667,7.96
174,Raudeberg,0,NO,1554422408,70,61.99,5.14,281.15,1.5
175,Mogadishu,0,SO,1554422398,100,2.04,45.34,301.167,6.21
176,Chiknayakanhalli,0,IN,1554422574,81,13.42,76.62,291.367,1.36
177,Kahului,20,US,1554422559,45,20.89,-156.47,303.15,10.8
178,Umm Lajj,0,SA,1554422371,100,25.02,37.27,289.917,1.96
179,Iquitos,20,PE,1554418800,79,-3.75,-73.25,303.15,1.5
180,Atbasar,68,KZ,1554422575,98,51.81,68.36,277.717,3.01
181,Geraldton,20,CA,1554418800,31,49.72,-86.95,274.15,6.7
182,Harnosand,88,SE,1554422119,86,62.63,17.94,275.15,3.1
183,Bicester,75,GB,1554422548,100,51.9,-1.15,280.37,6.31
184,Namibe,0,AO,1554422373,100,-15.19,12.15,299.017,4.66
185,Cameron Park,90,US,1554422567,76,38.68,-120.99,292.04,2.1
186,Jian,0,IN,1554422571,72,25.65,87.89,294.467,5.71
187,Mounana,92,GA,1554422576,99,-1.38,13.16,295.167,1.11
188,Bilibino,0,RU,1554422576,71,68.06,166.44,272.617,1.41
189,Honningsvag,48,NO,1554422576,98,70.98,25.97,270.717,1.96
190,Kobayashi,75,JP,1554422552,71,32.03,131.02,288.15,2.6
191,Hirara,75,JP,1554419580,100,24.8,125.28,294.15,4.1
192,Cockburn Town,56,TC,1554422577,98,21.46,-71.14,298.967,7.26
193,Airai,88,TL,1554422570,91,-8.93,125.41,294.467,0.46
194,Monywa,8,MM,1554422578,79,22.12,95.13,294.167,3.01
195,Chapais,1,CA,1554418800,52,49.78,-74.86,264.15,8.7
196,Touros,20,BR,1554418800,94,-5.2,-35.46,299.15,1.5
197,Flers,0,FR,1554422479,75,48.75,-0.57,281.48,5.7
198,Moengo,68,SR,1554422579,94,5.62,-54.4,296.417,1.76
199,Rosarito,75,CO,1554418800,100,4.91,-75.23,298.15,1.5
200,Richards Bay,88,ZA,1554422579,96,-28.77,32.06,294.417,5.36
201,Cherskiy,0,RU,1554422579,73,68.75,161.3,270.167,1.06
202,Saint George,20,GR,1554421999,87,39.45,22.34,284.26,1.21
203,Ketchikan,90,US,1554422160,81,55.34,-131.65,280.15,9.3
204,Sorland,0,NO,1554422580,100,67.67,12.69,276.417,6.81
205,Panama City,90,US,1554422327,68,30.16,-85.65,294.82,5.1
206,Corinth,20,GR,1554422561,76,37.94,22.93,286.48,1.5
207,Northam,75,GB,1554422534,93,51.04,-4.21,279.26,5.1
208,Nome,75,US,1554422565,78,30.04,-94.42,299.82,5.1
209,Black Diamond,90,CA,1554422565,35,50.69,-114.23,285.37,5.7
210,Cravo Norte,0,CO,1554422581,34,6.3,-70.2,305.817,4.51
211,Ilebo,68,CD,1554422582,98,-4.33,20.59,295.917,1.31
212,Port-Gentil,40,GA,1554418800,89,-0.72,8.78,302.15,3.6
213,Palm Coast,20,US,1554422564,68,29.55,-81.22,295.37,3.6
214,Neiafu,0,TO,1554422582,100,-18.65,-173.98,301.067,4.31
215,Pahrump,40,US,1554422554,21,36.21,-115.98,295.15,8.7
216,Rawson,0,AR,1554422352,37,-43.3,-65.11,286.367,2.76
217,Bafq,0,IR,1554422583,43,31.6,55.4,282.167,1.21
218,Sola,0,NO,1554422461,81,58.89,5.65,282.59,3.1
219,Araxa,76,BR,1554422398,80,-19.59,-46.94,294.917,1.36
220,Gillette,44,US,1554422041,41,44.29,-105.5,289.26,3.58
221,Dingle,0,PH,1554422569,76,11.0,122.67,299.667,4.36
222,Leningradskiy,20,RU,1554422584,100,69.38,178.42,261.817,3.01
223,Elk Plain,90,US,1554422561,47,47.04,-122.37,290.37,1.5
224,Kavaratti,0,IN,1554422293,100,10.57,72.64,301.617,1.21
225,Hasaki,75,JP,1554422075,58,35.73,140.83,287.59,2.6
226,Faanui,80,PF,1554422565,100,-16.48,-151.75,300.467,3.16
227,Garissa,48,KE,1554422585,82,-0.46,39.64,298.317,2.31
228,Kavieng,48,PG,1554422585,100,-2.57,150.8,301.167,0.91
229,Guozhen,0,CN,1554422585,96,29.3,113.14,286.017,3.11
230,Cap-Haitien,0,HT,1554422585,82,19.76,-72.2,299.817,9.16
231,Gashua,0,NG,1554422586,24,12.87,11.04,297.967,3.01
232,Chuy,92,UY,1554422465,98,-33.69,-53.46,293.117,5.01
233,Timberlake,40,US,1554422570,87,32.26,-81.31,293.15,2.6
234,Sangar,0,RU,1554422569,65,63.92,127.47,270.717,1.31
235,Kathu,88,ZA,1554422479,95,-27.7,23.05,285.93,2.56
236,Mareeba,40,AU,1554422298,65,-16.99,145.42,302.04,8.2
237,Talnakh,68,RU,1554422587,82,69.49,88.39,264.917,1.96
238,Brownsville,1,US,1554422557,58,25.91,-97.49,302.15,2.1
239,Lososina,76,RU,1554422588,78,49.0,140.31,274.017,1.36
240,Toamasina,20,MG,1554418800,100,-18.17,49.38,297.15,1.01
241,Quezon,20,PH,1554422588,87,16.49,121.26,295.067,0.96
242,Shimoda,75,JP,1554422411,48,34.7,138.93,289.82,9.8
243,Yichang,0,CN,1554422589,82,30.77,111.32,285.667,1.21
244,Bow Island,75,CA,1554422462,23,49.87,-111.38,291.15,2.1
245,Sawang Daen Din,32,TH,1554422589,91,17.48,103.46,296.417,1.51
246,Teknaf,88,BD,1554422589,94,20.86,92.31,296.767,1.01
247,Aykhal,36,RU,1554422354,70,65.95,111.51,263.967,1.66
248,Jutai,100,BR,1554422590,99,-1.71,-47.89,295.767,1.51
249,Karpogory,68,RU,1554422590,73,64.0,44.44,273.417,3.06
250,Ojinaga,1,US,1554421541,10,29.56,-104.41,302.15,4.1
251,Souillac,0,FR,1554422460,81,45.6,-0.6,282.04,4.1
252,Moron,80,VE,1554422591,88,10.49,-68.2,294.367,1.81
253,Kisangani,48,CD,1554422591,92,0.52,25.21,297.917,1.16
254,Qarayeri,40,AZ,1554420600,87,40.79,46.31,280.15,4.1
255,Longyearbyen,90,NO,1554421800,92,78.22,15.63,271.15,14.4
256,Dikson,56,RU,1554422579,100,73.51,80.55,265.267,3.66
257,La Ronge,90,CA,1554418800,58,55.1,-105.3,271.15,5.1
258,Vata de Jos,20,RO,1554422592,69,46.18,22.6,275.767,1.21
259,Magaria,0,NE,1554422592,48,13.0,8.91,295.767,1.61
260,Westlock,90,CA,1554422583,74,54.15,-113.85,274.82,2.6
261,Cabo San Lucas,75,MX,1554422129,38,22.89,-109.91,302.15,5.1
262,Moryakovskiy Zaton,0,RU,1554422432,66,56.7,84.65,273.15,4.0
263,Mahebourg,20,MU,1554422343,88,-20.41,57.7,297.59,0.5
264,Henties Bay,0,NA,1554422529,92,-22.12,14.28,288.15,1.34
265,Dhidhdhoo,0,MV,1554422593,100,6.88,73.1,301.917,2.41
266,Victoria,75,BN,1554420600,94,5.28,115.24,300.15,1.16
267,Bubaque,24,GW,1554422593,85,11.28,-15.83,301.267,6.81
268,Lebork,0,PL,1554422344,52,54.54,17.75,281.48,3.6
269,Rabo de Peixe,75,PT,1554422544,62,37.8,-25.58,285.93,6.7
270,Beringovskiy,80,RU,1554422594,100,63.05,179.32,269.067,4.91
271,Tshikapa,64,CD,1554422594,100,-6.42,20.79,294.167,1.51
272,Saldanha,92,PT,1554422579,98,41.42,-6.55,277.967,4.81
273,Lata,8,IN,1554422595,72,30.78,78.62,280.317,1.21
274,Mount Gambier,36,AU,1554418800,49,-37.83,140.78,295.15,8.7
275,Nova Olimpia,44,BR,1554422595,76,-14.8,-57.29,301.617,2.61
276,Dromolaxia,40,CY,1554422485,93,34.88,33.59,287.15,4.6
277,Barao de Melgaco,40,BR,1554418800,70,-16.19,-55.97,303.15,3.1
278,Mehamn,80,NO,1554422596,83,71.03,27.85,270.067,2.31
279,Bathsheba,40,BB,1554418800,69,13.22,-59.52,299.15,9.3
280,Tamasopo,0,MX,1554422596,25,21.92,-99.39,302.867,3.21
281,Mariestad,80,SE,1554422449,74,58.71,13.82,278.15,1.5
282,Claremore,40,US,1554422292,67,36.31,-95.62,293.15,2.6
283,Aktau,0,KZ,1554420600,76,43.65,51.16,283.15,6.0
284,Mount Isa,0,AU,1554420600,48,-20.73,139.49,301.15,5.7
285,Ngunguru,20,NZ,1554422584,68,-35.62,174.5,292.59,3.13
286,San-Pedro,36,CI,1554422598,86,4.75,-6.64,300.267,4.21
287,Avera,1,US,1554422450,42,33.19,-82.53,295.15,3.6
288,Labuhan,92,ID,1554422345,95,-2.54,115.51,296.417,1.41
289,Qaanaaq,64,GL,1554422598,86,77.48,-69.36,257.667,2.46
290,Tieling,0,CN,1554422598,61,42.29,123.84,278.867,5.86
291,Wuwei,0,CN,1554422599,46,37.93,102.64,273.167,2.86
292,Kaitangata,92,NZ,1554422516,53,-46.28,169.85,285.37,4.92
293,Jinchang,0,CN,1554422308,63,38.52,102.19,273.667,3.26
294,Pangnirtung,8,CA,1554422354,63,66.15,-65.72,253.317,2.86
295,Saint-Georges,76,CA,1554421629,54,46.12,-70.67,269.82,5.36
296,Ponta do Sol,48,BR,1554422591,94,-20.63,-46.0,292.567,0.71
297,Arroyo,1,US,1554422563,38,41.39,-78.88,283.15,1.21
298,Sibu,75,MY,1554418800,94,2.29,111.83,298.15,1.5
299,Abha,0,SA,1554418800,93,18.22,42.5,289.15,5.1
300,Podor,0,MR,1554418800,38,16.65,-14.96,298.15,1.0
301,Petropavlovsk-Kamchatskiy,90,RU,1554418800,89,53.05,158.65,275.15,2.0
302,Narsaq,92,GL,1554418200,20,60.91,-46.05,280.15,7.7
303,Peterhead,0,AU,1554422561,23,-34.83,138.5,304.82,8.7
304,Mazagao,75,BR,1554418800,100,-0.12,-51.29,298.15,2.1
305,Farmington,1,US,1554422407,20,36.73,-108.21,291.15,2.6
306,Aswan,0,EG,1554418800,26,24.09,32.9,294.15,5.1
307,Morgan City,90,US,1554422503,100,29.7,-91.21,290.37,3.1
308,Maralal,36,KE,1554422602,90,1.1,36.7,286.817,1.11
309,Kyzyl-Suu,8,KG,1554422603,100,42.34,78.0,275.967,1.66
310,Nikolskoye,0,RU,1554422438,44,59.7,30.79,278.15,2.0
311,Norman Wells,20,CA,1554418800,51,65.28,-126.83,262.15,5.1
312,Selb,90,DE,1554422599,93,50.17,12.13,280.93,2.6
313,Hazaribag,8,IN,1554422603,60,23.98,85.35,292.067,2.21
314,Rocha,48,UY,1554422604,77,-34.48,-54.34,292.817,6.36
315,San Antonio,0,CL,1554418800,82,-33.58,-71.61,291.15,2.1
316,Outjo,0,NA,1554422604,76,-20.11,16.16,287.967,1.21
317,Kolobrzeg,8,PL,1554422345,56,54.18,15.58,283.15,6.26
318,San Cristobal,92,EC,1554422519,87,-0.39,-78.55,284.82,0.45
319,Naruto,75,JP,1554422520,57,34.18,134.62,289.15,4.1
320,Bonavista,36,CA,1554422545,77,48.65,-53.11,272.59,8.49
321,Kurumkan,8,RU,1554422605,76,54.33,110.32,260.817,0.86
322,Nichinan,75,JP,1554422552,51,31.65,131.31,288.15,7.2
323,Keila,0,EE,1554422589,55,59.31,24.42,278.15,1.5
324,Koshki,64,RU,1554422606,91,54.2,50.47,272.967,3.11
325,Praia,0,BR,1554418800,73,-20.25,-43.81,297.15,2.1
326,Hithadhoo,64,MV,1554422289,100,-0.6,73.08,300.717,1.56
327,Pemba,0,MZ,1554422607,100,-12.97,40.52,301.467,3.51
328,Alim,0,NG,1554422607,87,7.18,7.33,298.067,5.26
329,Saquena,24,PE,1554422607,62,-4.67,-73.52,302.417,2.31
330,Rognan,0,NO,1554422480,64,67.1,15.4,274.15,7.7
331,Teya,75,MX,1554417780,22,21.05,-89.07,311.15,5.1
332,Bereda,40,ES,1554422589,93,43.27,-7.54,280.93,4.1
333,Carnarvon,8,ZA,1554422608,75,-30.97,22.13,284.767,7.16
334,Muscat,0,OM,1554418200,74,23.6,58.55,300.15,2.6
335,Worland,1,US,1554422446,20,44.02,-107.96,292.15,2.1
336,Madimba,0,CM,1554418800,100,4.42,9.93,297.15,0.5
337,Gornyak,56,KZ,1554422609,77,51.0,81.46,275.217,3.36
338,Daru,12,SL,1554422609,77,7.99,-10.85,298.717,2.86
339,Whitecourt,75,CA,1554418800,72,54.14,-115.68,274.15,2.6
340,Nantucket,1,US,1554422565,20,41.28,-70.1,281.48,5.1
341,Sovetskiy,0,RU,1554422610,71,56.76,48.47,266.267,3.71
342,Anadyr,0,RU,1554422554,85,64.73,177.51,265.93,2.0
343,Pagudpud,20,PH,1554422400,78,18.56,120.79,301.15,4.1
344,Belyy Yar,0,RU,1554418800,68,53.6,91.39,269.15,2.0
345,Miles City,40,US,1554422243,29,46.41,-105.84,292.15,6.7
346,Saskylakh,0,RU,1554422589,81,71.97,114.09,262.767,3.21
347,Flinders,40,AU,1554422528,72,-34.58,150.85,294.26,2.1
348,Gibara,40,CU,1554418200,65,21.11,-76.13,300.15,9.3
349,Seymchan,0,RU,1554422611,86,62.93,152.39,271.517,3.66
350,Ostrowiec Swietokrzyski,8,PL,1554422593,42,50.93,21.39,282.59,0.45
351,Beipiao,8,CN,1554422612,27,41.8,120.76,278.067,6.61
352,Owando,8,CG,1554422612,96,-0.49,15.91,296.367,1.41
353,Saurimo,56,AO,1554422612,87,-9.66,20.4,293.967,1.26
354,Pucara,40,BO,1554418800,39,-16.6,-68.57,283.15,3.6
355,Mackenzie,75,CA,1554418800,48,55.34,-123.09,280.15,5.7
356,Yarega,0,RU,1554422614,77,63.43,53.58,272.467,3.26
357,Boguchany,0,RU,1554422614,82,58.38,97.46,267.017,1.46
358,Iranshahr,0,IR,1554422614,52,27.21,60.69,291.067,1.06
359,Peniche,20,PT,1554422475,81,39.36,-9.38,284.26,3.6
360,Togur,36,RU,1554422615,70,58.36,82.83,265.617,1.16
361,Guerrero Negro,0,MX,1554422335,61,27.97,-114.04,291.817,5.56
362,Lebu,75,ET,1554418800,93,8.96,38.73,286.15,1.0
363,Rila,0,BG,1554422467,92,42.13,23.13,279.15,6.7
364,Axim,48,GH,1554422615,100,4.87,-2.24,300.867,6.61
365,Utiel,0,ES,1554422587,87,39.57,-1.21,284.26,1.5
366,Acapulco,5,MX,1554418080,66,16.86,-99.88,303.15,5.7
367,Okha,92,RU,1554422616,97,53.59,142.95,272.667,8.06
368,Dwarka,8,IN,1554420600,57,28.58,77.04,298.15,1.06
369,Le Port,64,FR,1554422510,59,42.87,1.37,277.59,0.45
370,Alexandria,90,US,1554422155,93,31.31,-92.44,292.59,3.1
371,Antalaha,80,MG,1554422618,98,-14.9,50.28,297.417,2.66
372,Alofi,75,NU,1554418800,78,-19.06,-169.92,301.15,4.6
373,Yarada,20,IN,1554418800,88,17.65,83.27,298.15,1.0
374,Minot,1,US,1554422610,44,48.23,-101.3,289.15,6.2
375,Ranong,20,TH,1554418800,100,9.96,98.62,297.15,2.41
